task,metric,value,threshold
stroop,proportion_feedback,0.8,0.2
stroop,congruent_accuracy,0.8833333333333333,0.75
stroop,congruent_omission_rate,0,0.05
stroop,incongruent_accuracy,0.8852459016393442,0.75
stroop,incongruent_omission_rate,0,0.05
stroop,congruent_rt,766.4833333333333,1000.0
stroop,incongruent_rt,857.45,1000.0
nback,proportion_feedback,0.75,0.2
nback,match_2_accuracy,0.3333333333333333,0.2
nback,mismatch_2_accuracy,0.8163265306122449,0.8
nback,match_1_accuracy,0.8333333333333334,0.2
nback,mismatch_1_accuracy,0.8333333333333334,0.8
nback,match_2_omission_rate,0,0.05
nback,mismatch_2_omission_rate,0,0.05
nback,match_1_omission_rate,0,0.05
nback,mismatch_1_omission_rate,0,0.05
nback,starter_trial_1_accuracy,1,1000.0
nback,starter_trial_2_accuracy,0.8333333333333334,1000.0
nback,starter_trial_1_omission_rate,0,1000.0
nback,starter_trial_2_omission_rate,0,1000.0
nback,match_2_rt,813.3,1000.0
nback,mismatch_1_rt,753.2291666666666,1000.0
nback,match_1_rt,792.5833333333334,1000.0
nback,starter_trial_1_rt,647.6,1000.0
nback,starter_trial_2_rt,699.3,1000.0
nback,mismatch_2_rt,852.0425531914893,1000.0
nback,weighted_2back_accuracy,0.7197278911564626,
nback,match_and_mismatch__2back_accuracy_comparision,"match=0.3333333333333333, mismatch=0.8163265306122449",
nback,weighted_1back_accuracy,0.8333333333333335,
nback,match_and_mismatch__1back_accuracy_comparision,"match=0.8333333333333334, mismatch=0.8333333333333334",
spatial_ts,proportion_feedback,0.8,0.2
spatial_ts,task_stay_cue_switch_accuracy,0.7083333333333334,0.75
spatial_ts,task_stay_cue_switch_omission_rate,0,0.05
spatial_ts,task_switch_cue_stay_accuracy,0.4583333333333333,0.75
spatial_ts,task_switch_cue_stay_omission_rate,0,0.05
spatial_ts,task_switch_cue_switch_accuracy,0.5463917525773195,0.75
spatial_ts,task_switch_cue_switch_omission_rate,0,0.05
spatial_ts,color_accuracy,0.5510204081632653,0.75
spatial_ts,form_accuracy,0.5858585858585859,0.75
spatial_ts,task_stay_cue_switch_rt,796.3409090909091,1000.0
spatial_ts,task_switch_cue_switch_rt,785.4216867469879,1000.0
spatial_ts,task_switch_cue_stay_rt,782.55,1000.0
spatial_ts,na_rt,849.5,1000.0
visual_search,proportion_feedback,0,0.2
visual_search,conjunction_24_accuracy,0.8823529411764706,0.75
visual_search,conjunction_24_omission_rate,0.03773584905660377,0.05
visual_search,conjunction_8_accuracy,1,0.75
visual_search,conjunction_8_omission_rate,0,0.05
visual_search,feature_24_accuracy,0.9821428571428571,0.75
visual_search,feature_24_omission_rate,0,0.05
visual_search,feature_8_accuracy,1,0.75
visual_search,feature_8_omission_rate,0.07317073170731707,0.05
visual_search,conjunction_24_rt,959.3725490196078,1000.0
visual_search,conjunction_8_rt,970.4883720930233,1000.0
visual_search,feature_24_rt,664.5,1000.0
visual_search,feature_8_rt,668.3947368421053,1000.0
flanker,proportion_feedback,0.8,0.2
flanker,congruent_accuracy,0.6557377049180327,0.75
flanker,congruent_omission_rate,0,0.05
flanker,incongruent_accuracy,0.6,0.75
flanker,incongruent_omission_rate,0,0.05
flanker,congruent_rt,741.639344262295,1000.0
flanker,incongruent_rt,786.8305084745763,1000.0
cued_ts,proportion_feedback,0.8,0.2
cued_ts,task_stay_cue_stay_accuracy,0.8723404255319149,0.75
cued_ts,task_stay_cue_stay_omission_rate,0.5,0.05
cued_ts,task_stay_cue_switch_accuracy,0.8541666666666666,0.75
cued_ts,task_stay_cue_switch_omission_rate,0.5,0.05
cued_ts,task_switch_cue_switch_accuracy,0.7789473684210526,0.75
cued_ts,task_switch_cue_switch_omission_rate,0.5,0.05
cued_ts,parity_accuracy,0.851063829787234,0.75
cued_ts,magnitude_accuracy,0.8469387755102041,0.75
cued_ts,task_stay_cue_stay_rt,816.2173913043479,1000.0
cued_ts,task_stay_cue_switch_rt,853.1777777777778,1000.0
cued_ts,task_switch_cue_switch_rt,855.6914893617021,1000.0
spatial_cueing,proportion_feedback,0,0.2
spatial_cueing,doublecue_accuracy,0.9583333333333334,0.75
spatial_cueing,doublecue_omission_rate,0,0.05
spatial_cueing,invalid_accuracy,0.8333333333333334,0.75
spatial_cueing,invalid_omission_rate,0,0.05
spatial_cueing,nocue_accuracy,0.9726027397260274,0.75
spatial_cueing,nocue_omission_rate,0,0.05
spatial_cueing,valid_accuracy,0.9814814814814815,0.75
spatial_cueing,valid_omission_rate,0,0.05
spatial_cueing,doublecue_rt,471.6666666666667,1000.0
spatial_cueing,invalid_rt,440.8,1000.0
spatial_cueing,nocue_rt,587.6197183098592,1000.0
spatial_cueing,valid_rt,431.66037735849056,1000.0
