task,metric,value,threshold
operation_span,proportion_feedback,0.4,0.2
operation_span,8x8_grid_asymmetric_accuracy,0.993103448275862,0.75
operation_span,8x8_grid_symmetric_accuracy,0.9481481481481482,0.75
operation_span,mean_4x4_grid_accuracy_irrespective_of_order,0.74,0.4
operation_span,mean_4x4_grid_accuracy_respective_of_order,0.56,0.4
operation_span,8x8_grid_asymmetric_rt,771.3379310344827,1000.0
operation_span,8x8_grid_symmetric_rt,753.0814814814814,1000.0
operation_span,order_difference,0.3214285714285713,0.4
gonogo,proportion_feedback,0.0,0.2
gonogo,go_accuracy,0.9754601226993865,0.857
gonogo,nogo_accuracy,0.9629629629629629,0.143
gonogo,go_omission_rate,0.0,0.05
gonogo,gonogo_go_rt,474.6477987421384,1000.0
gonogo,nogo_rt,429.0,1000.0
gonogo,mean_accuracy,0.9692115428311747,
simple_span,proportion_feedback,0.0,0.2
simple_span,mean_4x4_grid_accuracy_irrespective_of_order,0.9,0.6
simple_span,mean_4x4_grid_accuracy_respective_of_order,0.77,0.2
simple_span,order_difference,0.16883116883116883,0.2
ax_cpt,proportion_feedback,0.0,0.2
ax_cpt,AX_accuracy,0.9666666666666667,0.75
ax_cpt,AX_omission_rate,0.5,0.05
ax_cpt,BX_accuracy,1.0,0.75
ax_cpt,BX_omission_rate,0.5,0.05
ax_cpt,AY_accuracy,1.0,0.75
ax_cpt,AY_omission_rate,0.5,0.05
ax_cpt,BY_accuracy,1.0,0.75
ax_cpt,BY_omission_rate,0.5,0.05
ax_cpt,AX_rt,603.4,1000.0
ax_cpt,BX_rt,654.28125,1000.0
ax_cpt,AY_rt,666.6666666666666,1000.0
ax_cpt,BY_rt,600.3333333333334,1000.0
ax_cpt,proportion_cue/fixation_responses,0.003870967741935484,1000.0
operation_only_span,proportion_feedback,0.0,0.2
operation_only_span,8x8_asymmetric_accuracy,0.971830985915493,0.75
operation_only_span,8x8_symmetric_accuracy,0.9741935483870968,0.75
operation_only_span,8x8_symmetric_rt,735.1225806451613,1000.0
operation_only_span,8x8_asymmetric_rt,708.5281690140845,1000.0
stop_signal,proportion_feedback,0.2,0.2
stop_signal,stop_accuracy,0.5333333333333333,0.35
stop_signal,stop_accuracy,0.5333333333333333,0.65
stop_signal,go_accuracy,0.628099173553719,0.75
stop_signal,go_omission_rate,0.0,0.05
stop_signal,stop_signal_go_rt,683.6611570247934,700.0
