task,metric,value,threshold
stroop,proportion_feedback,0.8,0.2
stroop,congruent_accuracy,0.0,0.75
stroop,congruent_omission_rate,0.0,0.05
stroop,incongruent_accuracy,0.0,0.75
stroop,incongruent_omission_rate,0.0,0.05
spatial_ts,proportion_feedback,0.8,0.2
spatial_ts,task_stay_cue_switch_accuracy,0.0,0.75
spatial_ts,task_stay_cue_switch_omission_rate,0.0,0.05
spatial_ts,task_switch_cue_stay_accuracy,0.0,0.75
spatial_ts,task_switch_cue_stay_omission_rate,0.0,0.05
spatial_ts,task_switch_cue_switch_accuracy,0.0,0.75
spatial_ts,task_switch_cue_switch_omission_rate,0.0,0.05
spatial_ts,color_accuracy,0.0,0.75
spatial_ts,form_accuracy,0.0,0.75
visual_search,proportion_feedback,0.8,0.2
visual_search,conjunction_24_omission_rate,1.0,0.05
visual_search,conjunction_8_omission_rate,1.0,0.05
visual_search,feature_24_omission_rate,1.0,0.05
visual_search,feature_8_omission_rate,1.0,0.05
flanker,proportion_feedback,0.8,0.2
flanker,congruent_accuracy,0.0,0.75
flanker,congruent_omission_rate,0.0,0.05
flanker,incongruent_accuracy,0.0,0.75
flanker,incongruent_omission_rate,0.0,0.05
stop_signal,proportion_feedback,0.8,0.2
stop_signal,stop_accuracy,1.0,0.35
stop_signal,stop_accuracy,1.0,0.65
stop_signal,go_accuracy,0.0,0.75
stop_signal,go_omission_rate,0.0,0.05
